Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chrysler Pacifica,7966,10313,6247,1992,4428,4649,10062,8944,-,9956,8178,11378
Chrysler Town and Country,-,-,-,-,-,-,-,-,9690,-,-,-
Dodge Grand Caravan,8098,10483,6350,952,2116,2222,2080,1849,2003,881,724,1007
Honda Odyssey,5622,6494,4274,3933,7648,7946,7286,8644,7844,8001,7016,8701
Kia Sedona,1012,1416,1180,705,1482,1219,1036,1036,1045,1029,797,1233
Nissan Quest,-,-,-,-,-,-,-,-,-,-,-,-
Toyota Sienna,3934,4778,3164,960,2133,2239,3462,3987,4124,2812,3779,7513
