Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chevrolet Suburban,3084,-,2418,1263,2806,2947,2647,2353,2549,4580,3762,5235
Chevrolet Tahoe,6627,8579,5197,2883,6406,6727,8107,7207,7807,9681,7952,11064
Ford Expedition,6428,8322,5041,2260,5022,5273,6803,6047,6551,9014,7025,10052
GMC Yukon,4569,5915,3583,1898,4217,4428,4935,4386,4752,8352,6861,9546
Nissan Armada,2607,3375,2044,923,2051,2153,1531,1361,1474,715,587,817
Toyota Sequoia,505,571,332,202,448,470,666,769,770,831,752,1048
