Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Buick Encore GX,-,-,-,1666,3702,3888,5617,4993,5409,5723,4701,6541
Buick Envision,2252,2915,1766,1419,3152,3310,4087,3633,3935,2859,2348,3267
Chevrolet Equinox,23858,30887,18708,9144,20319,21335,23660,21031,22784,26741,21966,30561
Chevrolet Trax,9173,11876,7193,4044,8986,9436,10339,9190,9956,8807,7234,10065
Dodge Journey,4921,6371,3859,978,2174,2282,3564,3168,3432,3236,2658,3698
Fiat 500X,92,119,72,71,158,166,158,141,153,106,87,121
Ford EcoSport,4197,5434,3291,3102,6893,7237,5977,5313,5755,4210,4318,4817
Ford Escape,15628,20233,12255,6602,14672,15406,16465,14636,15855,15959,13411,17373
GMC Terrain,8215,10635,6442,2509,5576,5854,7473,6643,7197,8594,7060,9822
Honda CR-V,26027,28268,16891,12201,29023,26488,20473,34391,33572,32415,25633,38120
Honda HR-V,7457,8114,3843,2906,7063,7512,8402,8942,7560,7421,6379,8428
Hyundai Kona,4208,7092,3874,3114,6536,5943,7077,7998,6971,6540,8551,8349
Hyundai Nexo,16,28,7,3,10,12,16,25,21,37,20,13
Hyundai Tuscon,8068,9594,6073,8438,15552,10216,10922,11632,10644,10898,9739,11881
Hyundai Venue,989,1226,951,817,1650,-,1620,1644,1529,1557,2965,2639
Jeep Cherokee,10938,14160,8577,4187,9305,9770,14370,12773,13838,12798,10512,14626
Jeep Compass,9686,12539,7595,3312,7360,7728,10375,9222,9991,10174,8358,11628
Jeep Renegade,4600,5956,3608,2285,5078,5332,6649,5910,6402,5744,4718,6565
Kia Niro,1570,1951,1454,774,1318,1185,1307,1991,1682,1524,1144,1534
Kia Seltos,94,2798,2160,1839,3551,3636,4504,5314,5613,5542,5122,6107
Kia Sportage,6741,7934,5382,3964,7576,8021,7945,7672,7165,6989,7039,7915
Mazda CX-3,1146,947,459,363,842,1000,959,860,436,473,413,437
Mazda CX-30,2368,3754,2242,1483,3583,3526,3787,3862,3188,3214,2649,4408
Mazda CX-5,12908,14462,7841,5220,12140,12501,11878,13745,13582,11890,12299,17954
Mini Countryman,544,704,426,296,658,691,1054,933,993,1034,849,1181
Mitsubishi Eclipse Cross,2118,2036,1030,413,367,382,852,757,820,521,428,595
Mitsubishi Outlander,3891,5291,3627,972,864,900,2778,2470,2675,1236,1016,1413
Mitsubishi Outlander PHEV,95,151,101,101,90,94,332,295,320,130,107,148
Mitsubishi Outlander Sport,3011,6213,3353,1495,1329,1384,2707,2406,2606,1461,1200,1670
Nissan Kicks,4537,5874,3558,1655,3677,3861,6830,6071,6577,5471,4494,6253
Nissan Rogue,19396,25111,15210,8505,18900,19845,21192,18837,20407,20421,16774,23338
Subaru CrossTrek,8131,8287,5098,4489,9486,10241,8913,10329,11950,14994,12841,14957
Subaru Forester,13209,16458,9413,9431,17859,19490,15313,17261,15648,14697,12211,16006
Toyota C-HR,2961,4439,2972,1989,4421,4642,3677,3897,4606,3358,2666,3308
Toyota RAV4,33130,39626,24875,15431,34292,36006,36323,39239,43652,40717,40250,46846
Toyota Venza,-,-,-,-,-,-,-,43,1625,3510,3400,4495
Volkswagen ID.4,-,-,474,-,-,-,-,-,-,-,-,-
Volkswagen Tiguan,7203,9325,15463,4557,10127,10634,9842,8749,9478,8476,6962,9686
