,,
FCA / Stellantis,,
GM,,
Ford,,
VW,**,
Subaru,**,
BMW,,
Daimler,*,
Tata,*,jaguar land rover
Toyota,,
Group Renault (nissan),,
Hyundai,,
Honda,,
volvo,*,
mazda,*,
