Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Buick Enclave,4138,3973,4469,4927,5685,4548,4366,4890,4017,3340,3464,3339
Chevrolet Blazer,994,955,1074,3826,4415,3532,6682,7483,6147,7576,7856,7576
Chevrolet Traverse,11258,10807,12158,12399,14307,11446,13525,15148,12443,11073,11483,11075
Dodge Durango,4288,6105,6626,6171,8263,5538,5142,5759,4730,4931,5114,4931
Ford Edge,10171,9764,10985,10827,12493,9994,12059,13506,11094,12388,12846,12387
Ford Explorer,20369,19554,21999,12968,14963,11970,11169,12509,10276,16887,17511,16886
Ford Flex,1828,1755,1974,2342,2702,2162,1834,2054,1687,2025,2098,2024
GMC Acadia,10263,9853,11084,9237,10658,8526,6690,7493,6155,6412,6648,6411
Honda Passport,126,1848,2840,2907,3434,3585,3511,4182,2890,3649,3636,3677
Honda Pilot,8556,10990,13411,11399,12517,11579,11874,14381,9262,9529,10260,11250
Hyundai Palisade,-,-,-,-,-,383,4464,5115,3495,4357,5268,5654
Hyundai Santa Fe,7832,9922,10929,10746,13807,14335,9644,10828,8276,10964,9740,10350
Jeep Grand Cherokee,15075,18009,24665,20469,25394,19660,20318,22757,18693,19074,19781,19074
Jeep Wrangler,13024,15001,21963,22422,24530,20055,19419,21750,17866,17126,17760,17126
Kia Sorento,6726,7386,9507,7473,8356,7570,8256,9160,7766,8533,7899,7899
Kia Telluride,-,315,5080,5570,6273,5989,4559,6374,5049,6075,6824,6824
Mazda CX-9,1860,2422,2136,1618,2004,1832,2135,2617,1919,2094,2988,3236
Mitsubishi Montero Sport,-,-,-,-,-,-,-,2404,2301,-,2795,-
Nissan Murano,4080,3412,4237,3476,5634,5133,6454,9462,8460,7477,5349,5187
Nissan Pathfinder,5268,4860,7226,4713,7751,6494,4686,4223,4121,5636,4819,5894
Subaru Ascent,4981,6160,7932,6512,7509,7014,7296,7319,5319,6091,7545,8280
Subaru Outback,10941,12328,18539,16381,18017,17505,18428,17110,11281,11506,12481,16661
Toyota 4Runner,10335,9984,12510,10055,10351,9638,10087,13258,9478,12248,12391,11529
Toyota FJ Cruiser,-,-,-,-,1,-,-,-,-,-,-,-
Toyota Highlander,14413,17384,20824,17190,21548,19824,22328,28364,18294,18857,19962,20449
Volkswagen Atlas,3803,4795,7381,6050,8273,7424,7688,8227,6064,6647,7756,7400
Volkswagen Touareg,38,29,19,12,14,18,6,7,8,1,1,7
