Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chevrolet Suburban,3628,3483,3918,5936,6850,5480,4076,4565,3750,3372,3497,3373
Chevrolet Tahoe,6860,6585,7408,10706,12353,9883,8654,9692,7962,6943,7201,6942
Ford Expedition,7162,6876,7735,7084,8174,6539,6114,6847,5625,7991,8286,7990
GMC Yukon,4917,4720,5310,6507,7509,6007,6163,6903,5670,6904,7159,6903
Nissan Armada,2202,3190,4409,1917,4490,2505,1673,1716,2507,2714,1754,2967
Toyota Sequoia,726,841,843,592,793,769,1041,1122,856,915,915,876
