Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chevrolet Cruze,132,170,103,50,111,116,25,22,24,10,8,12
Chevrolet Sonic,1410,1825,1106,380,844,887,1524,1355,1468,745,612,851
Chevrolet Spark,3038,3933,2382,956,2124,2231,2936,2610,2827,3523,2894,4026
Dodge Dart,1,1,1,-,1,1,-,-,-,-,-,-
Fiat 500,106,138,83,43,96,100,34,30,32,4,3,5
Fiat 500L,42,55,33,22,50,52,48,43,47,28,23,32
Ford Fiesta,884,1145,694,78,174,182,47,42,46,11,51,-
Honda Civic,20054,25617,18273,13410,27244,23260,25188,25524,22371,21865,17372,21047
Honda CR-Z,-,1,-,-,-,-,-,-,-,-,-,551
Honda Fit,2534,2853,1792,1187,2598,2923,3571,3814,3116,3082,2313,2705
Hyundai Accent,1565,2046,1196,736,1512,1239,1538,1135,1348,1129,972,1559
Hyundai Elantra,7874,10441,7430,7536,7608,7561,9283,9135,8235,11428,8095,10849
Hyundai Veloster,665,842,575,541,858,-,861,836,601,443,296,267
Kia Forte,6248,8513,7598,4222,6603,6260,7410,8414,7643,8107,6860,7119
Kia Rio,1628,3082,2135,1436,1760,1706,2056,2097,2143,2104,1728,2052
Kia Soul,5530,5816,5367,3565,6234,7439,7622,6968,6700,6318,4767,5446
Mazda 2,-,-,-,-,-,-,-,-,-,-,-,3256
Mazda 3,2496,3759,1863,1492,3368,3250,3231,3175,2535,2570,2613,-
Mini Cooper,1157,1498,907,656,1457,1530,2119,1877,1998,1850,1520,2115
Mitsubishi Mirage,1511,1852,1283,1352,1202,1252,2047,1820,1972,1634,1342,1868
Nissan Sentra,7756,10041,6082,3583,7963,8361,9147,8131,8808,8357,6865,9551
Nissan Versa,3955,5120,3101,1380,3066,3220,3670,3262,3534,6060,4978,6926
Subaru Impreza,3978,3916,2395,1857,3085,3389,4259,4654,4622,4329,3174,3970
Toyota Corolla,23477,26590,19147,7270,16155,16963,17564,19154,19894,21569,23987,25409
Toyota Yaris,860,965,591,236,525,551,509,726,691,442,199,141
Volkswagen Beetle,523,677,410,506,1124,1181,-,-,-,-,-,-
Volkswagen Golf,2501,3238,2529,827,1838,1930,1751,1557,1687,1564,1285,1788
Volkswagen Jetta,6945,8992,13623,2875,6388,6708,7054,6270,6792,8495,6978,9709
Volvo 40 Series,-,-,1099,-,-,-,-,-,-,-,-,-
