Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Buick Regal,390,505,306,148,329,345,141,135,135,20,16,23
Chevrolet Bolt,1908,2470,1496,449,998,1048,1992,1771,1919,2261,1857,2584
Chevrolet Malibu,11460,14837,8987,2279,5064,5318,8926,7934,8595,9868,8106,11278
Chevrolet Volt,7,10,6,7,16,16,2,2,2,-,-,-
Chrysler 200,1,1,1,-,-,-,1,1,1,1,1,1
Ford Fusion,11997,15532,9408,4407,9794,10283,10254,9115,9874,6526,5902,7573
Honda Accord,15099,18216,13810,8851,17369,15409,17221,19167,20149,19185,15473,19509
Honda Clarity FCV,475,559,221,90,248,187,213,251,354,719,347,-
Honda Insight,1433,1613,857,511,1127,1423,1922,1886,1472,1375,1080,1233
Hyundai Ioniq,1278,1481,763,422,626,868,1826,879,1096,1202,1090,2039
Hyundai Sonata,5501,6144,3957,3428,5852,5407,6834,7965,8038,7570,8242,8059
Kia K5,-,-,-,-,-,-,1268,3631,5763,7528,7437,6029
Kia Optima,6177,5760,8408,6894,5854,5732,4949,3307,1020,255,104,24
Kia Stinger,743,1063,754,871,1393,1527,1427,1101,913,1013,847,904
Mazda 6,1755,1730,1021,746,1477,1356,1199,1230,1451,1356,1196,1687
Nissan Altima,15378,19909,12059,3906,8681,9115,9830,8738,9466,13800,11335,15771
Nissan Leaf,636,823,499,189,420,441,672,597,647,1566,1280,1789
Subaru Legacy,2471,2434,1630,1358,1954,2054,2629,2681,2825,2490,2192,2522
Toyota Camry,24824,29245,23119,8768,19484,20459,22792,27892,28362,29666,29373,30364
Toyota Mirai,57,59,31,11,25,26,27,64,41,27,111,20
Toyota Prius Family,4089,4532,2862,1620,3600,3780,4391,3905,3787,3633,3248,4078
Volkswagen Arteon,256,331,597,143,319,335,370,329,357,324,266,371
Volkswagen CC,6,7,4,-,-,-,-,-,-,-,-,-
Volkswagen Passat,1943,2515,3156,742,1648,1730,2135,1898,2056,2285,1877,2612
