Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chevrolet Sonic,1410,1825,1106,380,844,887,1524,1355,1468,745,612,851
Ford Fiesta,884,1145,694,78,174,182,47,42,46,11,51,-
Honda Fit,2534,2853,1792,1187,2598,2923,3571,3814,3116,3082,2313,2705
Hyundai Accent,1565,2046,1196,736,1512,1239,1538,1135,1348,1129,972,1559
Kia Rio,1628,3082,2135,1436,1760,1706,2056,2097,2143,2104,1728,2052
Nissan Versa,3955,5120,3101,1380,3066,3220,3670,3262,3534,6060,4978,6926
Toyota Yaris,860,965,591,236,525,551,509,726,691,442,199,141
