Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chevrolet Bolt,1908,2470,1496,449,998,1048,1992,1771,1919,2261,1857,2584
Chevrolet Volt,7,10,6,7,16,16,2,2,2,-,-,-
Hyundai Ioniq,1278,1481,763,422,626,868,1826,879,1096,1202,1090,2039
Nissan Leaf,636,823,499,189,420,441,672,597,647,1566,1280,1789
Toyota Mirai,57,59,31,11,25,26,27,64,41,27,111,20
Toyota Prius Family,4089,4532,2862,1620,3600,3780,4391,3905,3787,3633,3248,4078
