Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Buick LaCrosse,45,58,35,13,28,30,2,2,2,5,4,5
Chevrolet Impala,1613,2088,1265,366,813,854,672,597,647,347,285,396
Chrysler 300,1818,2353,1245,502,1115,1171,1112,988,1070,1720,1413,1966
Dodge Charger,6050,7833,4745,2062,4582,4812,8257,7339,7951,8027,6594,9174
Kia Cadenza,197,192,96,50,70,65,100,53,99,115,99,129
Kia K900,26,23,16,12,25,23,25,34,25,41,22,33
Nissan Maxima,1982,2566,1554,717,1673,1673,1392,1237,1340,1352,1110,1545
Toyota Avalon,1510,1550,1020,627,1393,1463,1762,1813,1833,1857,1680,1913
