Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Audi A8,180,233,141,83,185,194,230,204,222,237,195,271
BMW 6-Series,17,22,13,12,26,28,9,8,1770,19,15,21
BMW 7-Series,547,709,429,209,465,488,479,424,9,751,617,858
Genesis G90,227,289,168,94,161,208,132,184,96,139,139,235
Jaguar XJ,127,113,117,65,144,151,105,94,101,34,28,39
Lexus LS,378,261,162,145,250,263,255,299,303,471,339,524
Mercedes-Benz S-Class,768,995,603,327,727,763,858,763,826,661,543,755
Porsche Panamera,385,498,302,157,348,366,373,332,359,253,208,290
Porsche Taycan,72,83,56,147,327,344,652,579,627,512,420,585
Tesla Model S,1900,1700,1000,576,1280,1344,2630,2338,2532,1687,1386,1928
