Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,935,1083,723,506,1039,1109,1230,1331,1377,1523,1141,1417
Chevrolet Cruze,132,170,103,50,111,116,25,22,24,10,8,12
Dodge Dart,1,1,1,-,1,1,-,-,-,-,-,-
Honda Civic,20054,25617,18273,13410,27244,23260,25188,25524,22371,21865,17372,21047
Honda CR-Z,-,1,-,-,-,-,-,-,-,-,-,551
Hyundai Elantra,7874,10441,7430,7536,7608,7561,9283,9135,8235,11428,8095,10849
Kia Forte,6248,8513,7598,4222,6603,6260,7410,8414,7643,8107,6860,7119
Mazda 2,-,-,-,-,-,-,-,-,-,-,-,3256
Mazda 3,2496,3759,1863,1492,3368,3250,3231,3175,2535,2570,2613,-
Nissan Sentra,7756,10041,6082,3583,7963,8361,9147,8131,8808,8357,6865,9551
Subaru Impreza,3978,3916,2395,1857,3085,3389,4259,4654,4622,4329,3174,3970
Toyota Corolla,23477,26590,19147,7270,16155,16963,17564,19154,19894,21569,23987,25409
Volkswagen Golf,2501,3238,2529,827,1838,1930,1751,1557,1687,1564,1285,1788
Volkswagen Jetta,6945,8992,13623,2875,6388,6708,7054,6270,6792,8495,6978,9709
