Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chrysler Pacifica,6963,7854,8457,6984,8232,10037,7137,7994,6566,9049,9384,9049
Chrysler Town and Country,1,-,-,2,-,-,1,-,-,-,-,-
Dodge Grand Caravan,7113,12521,15806,7483,16809,12215,9032,10115,8309,7654,7937,7654
Honda Odyssey,5828,6658,8811,7482,9519,9202,9111,10190,7457,7872,8249,8734
Kia Sedona,1348,1144,1367,1067,1460,1392,1356,1532,910,1341,1463,1463
Nissan Quest,-,-,-,-,-,-,-,-,-,-,-,-
Toyota Sienna,4979,5286,8351,6951,8353,7163,6552,6172,4438,4801,5363,5176
